[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]
[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2]
[0, 1, 1, 1, 0, 0, 1, 2, 1, 1, 1, 1, 1, 1, 0, 0, 1, 3]
[1, 0, 0, 0, 2, 1, 0, 3, 0, 0, 0, 0, 0, 0, 2, 1, 0, 4]
[1, 0, 0, 0, 2, 1, 0, 3, 4, 0, 0, 0, 0, 0, 2, 1, 0, 5]
[1, 0, 0, 0, 2, 1, 0, 3, 4, 5, 0, 0, 0, 0, 2, 1, 0, 6]
[1, 0, 0, 0, 2, 1, 0, 3, 4, 5, 0, 6, 0, 0, 2, 1, 0, 7]
[1, 3, 0, 0, 2, 1, 0, 4, 5, 6, 0, 7, 0, 0, 2, 1, 0, 8]
[1, 3, 0, 0, 2, 1, 0, 4, 5, 6, 0, 7, 8, 0, 2, 1, 0, 9]
[1, 3, 4, 0, 2, 1, 0, 5, 6, 7, 0, 8, 9, 0, 2, 1, 0, 10]
[0, 3, 4, 1, 2, 0, 1, 5, 6, 7, 8, 9, 10, 1, 2, 0, 1, 11]
[3, 4, 5, 0, 1, 2, 0, 6, 7, 8, 9, 10, 11, 0, 1, 2, 0, 12]
[4, 5, 6, 2, 1, 3, 0, 7, 8, 9, 10, 11, 12, 2, 1, 3, 0, 13]
[3, 4, 5, 1, 0, 2, 6, 7, 8, 9, 10, 11, 12, 1, 0, 2, 13, 14]
[2, 3, 4, 0, 5, 1, 6, 7, 8, 9, 10, 11, 12, 0, 13, 1, 14, 15]
[1, 2, 3, 4, 5, 0, 6, 7, 8, 9, 10, 11, 12, 13, 14, 0, 15, 16]
